Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
microservices-demo-main,hipstershop,AdService,start,13,1,0,53,0,hipstershop.AdService,hipstershop.AdService
microservices-demo-main,hipstershop,AdService,stop,6,2,0,77,0,,
microservices-demo-main,hipstershop,AdService,getAdsByCategory,3,1,1,123,0,,
microservices-demo-main,hipstershop,AdService,getRandomAds,8,2,0,129,0,,
microservices-demo-main,hipstershop,AdService,getInstance,3,1,0,138,0,,
microservices-demo-main,hipstershop,AdService,blockUntilShutdown,5,2,0,142,0,,
microservices-demo-main,hipstershop,AdService,createAdsMap,10,1,0,149,0,,
microservices-demo-main,hipstershop,AdService,initStats,9,2,0,195,0,,
microservices-demo-main,hipstershop,AdService,initTracing,9,2,0,209,0,,
microservices-demo-main,hipstershop,AdService,main,11,1,1,222,0,hipstershop.AdService,hipstershop.AdService
microservices-demo-main,hipstershop,AdServiceClient,AdServiceClient,3,1,2,39,0,,
microservices-demo-main,hipstershop,AdServiceClient,AdServiceClient,4,1,1,49,0,,
microservices-demo-main,hipstershop,AdServiceClient,shutdown,3,1,0,55,0,,
microservices-demo-main,hipstershop,AdServiceClient,getAds,15,2,1,59,0,,
microservices-demo-main,hipstershop,AdServiceClient,getPortOrDefaultFromArgs,12,2,1,76,0,,
microservices-demo-main,hipstershop,AdServiceClient,getStringOrDefaultFromArgs,7,2,3,88,0,,
microservices-demo-main,hipstershop,AdServiceClient,main,13,1,1,97,0,hipstershop.AdServiceClient,hipstershop.AdServiceClient
