Project Name,Package Name,Architecture Smell,Cause of the Smell
train-ticket-master,org.services.analysis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AggregateAllCases]; [AggregateEachCase]; [App]; [CalculateEventAndNode]; [CallAnalysis]; [Clock; TraceTranslator; Span]; [Test]. LCC (Lack of Component Cohesion) = 0.78
train-ticket-master,(default package),Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestFlowOne]; [TestFlowTwoPay]; [TestFlowTwoRebook]; [TestServiceBasicInfo]; [TestServiceCancel]; [TestServiceCellect]; [TestServiceConfig]; [TestServiceContacts]; [TestServiceExecute]; [TestServiceInsidePay]; [TestServiceLogin]; [TestServiceNotification]; [TestServiceOrders]; [TestServicePayment]; [TestServicePrice]; [TestServiceRebook]; [TestServiceRegister]; [TestServiceSecurity]; [TestServiceSSO]; [TestServiceStation]; [TestServiceTicketInfo]; [TestServiceTrain]; [TestServiceTravel]; [TestServiceTravel.TravelInfo]; [TestServiceTravel2]. LCC (Lack of Component Cohesion) = 1.0
train-ticket-master,org.myproject.ms.monitoring.antn,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultSpanCreator; SpanCreator; SleuthAdvisorConfig; SleuthAnnotationAutoConfiguration; TagValueExpressionResolver; SleuthAdvisorConfig.SleuthInterceptor; SpanTagAnnotationHandler; SleuthAnnotationUtils; SpelTagValueExpressionResolver; NoOpTagValueResolver; TagValueResolver]; [SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut]; [SleuthAdvisorConfig.AnnotationClassOrMethodFilter]; [SleuthAdvisorConfig.AnnotationMethodsResolver]; [SleuthAnnotatedParameter]; [SleuthAnnotationProperties]. LCC (Lack of Component Cohesion) = 0.38
train-ticket-master,org.myproject.ms.monitoring,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChainCallable; Chainer; ChainRunnable; Item; Item.SpanBuilder; ItemAccessor; ItemAdjuster; ItemContext; ItemExtractor; ItemInjector; ItemNamer; ItemReporter; NOItemAdjuster; NOItemReporter; Sampler; StateItemAdjuster; DefaultItemNamer]; [ChainKeys]; [ChainKeys.Message]; [ChainKeys.Payload]; [ChainKeys.Http]; [ChainKeys.Hystrix]; [ChainKeys.Async]; [ChainKeys.Mvc]; [ItemTextMap]; [Log]. LCC (Lack of Component Cohesion) = 0.38
train-ticket-master,org.myproject.ms.monitoring.instrument.async,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ACAtcfg]; [ADAtcfg; EBPProc; TAAsp; LTTPTExec]; [ADAtcfg.DefaultAsyncConfigurerSupport]; [EBPProc.ExecutorMethodInterceptor]; [LCTCall; SCTCall; TEServ; TSEServ; LCTRun; SCTRun]; [LTACus]; [LTExec]; [TCCall]. LCC (Lack of Component Cohesion) = 0.5
train-ticket-master,org.myproject.ms.monitoring.instrument.web.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ATHRInter; TACHRFW; TRTInter; TWACAConf; TWCAConf; TWCAConf.TraceInterceptorConfiguration; THResp]; [HRTMap]; [TALTExec]; [TARTemp]; [TARTemp.TraceSuccessCallback]; [TARTemp.TraceFailureCallback]; [TARTemp.TraceListenableFutureCallbackWrapper]; [TARTemp.TraceListenableFutureCallback]. LCC (Lack of Component Cohesion) = 0.57
train-ticket-master,org.myproject.ms.monitoring.instrument.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HSExtra; TFilter; THAConf; THInter; TRAttr; TWAConf; TWAsp; TWMConf; ZHSExtra; HSInject; ZHSInject; HSRTMap; HTKInject; ServletUtils; SsLogSetter; THSResp; TPWriter; TSOStr; SWProp; TSDBPProcess]; [SWProp.Client]; [SWProp.Async]; [SWProp.AsyncClient]; [SWProp.Template]; [TSDBPProcess.TraceDelegatingHandlerMapping]; [TWAConf.TraceWebMvcAutoConfiguration]; [TWAConf.SkipPatternProviderConfig]; [TWAConf.SkipPatternProvider]. LCC (Lack of Component Cohesion) = 0.32
train-ticket-master,org.myproject.ms.monitoring.lgger,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ItemLogger; LogAtcfg; NoItemLogger; Slf4jItemLogger]; [LogAtcfg.Slf4jConfiguration]; [Slf4jProps]. LCC (Lack of Component Cohesion) = 0.5
train-ticket-master,org.myproject.ms.monitoring.mtc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChainMetricsAtcfg; ItemMetricReporter; NOIMRep; SMProp; CSBSMRep]; [ChainMetricsAtcfg.CounterServiceSpanReporterConfig]; [ChainMetricsAtcfg.PickMetricIfMetricsIsMissing]; [SMProp.Span]. LCC (Lack of Component Cohesion) = 0.5
train-ticket-master,auth.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): auth.service.impl
train-ticket-master,fdse.microservice.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasicService; BasicServiceImpl; BasicServiceImplTest]; [StationService; StationServiceImpl; StationServiceImplTest]. LCC (Lack of Component Cohesion) = 0.33
train-ticket-master,edu.fudan.common.entity,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43
train-ticket-master,edu.fudan.common.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Account; DocumentType; Gender]; [AdminTrip; Route; TrainType; TravelResult; Trip; TripAllDetail; TripId; TripResponse; Type; Travel]; [Assurance; AssuranceType]; [Config]; [Consign]; [Contacts]; [Food]; [FoodOrder]; [LeftTicketInfo]; [NotifyInfo]; [Order; OrderAlterInfo; OrderStatus; SeatClass]; [OrderSecurity]; [OrderTicketsInfo]; [PaymentDifferenceInfo]; [PriceConfig]; [RouteInfo]; [RoutePlanInfo]; [RoutePlanResultUnit]; [Seat]; [SoldTicket]; [Station]; [StationFoodStore]; [Ticket]; [TrainFood]; [TravelInfo]; [TripAllDetailInfo]; [TripInfo]; [User]. LCC (Lack of Component Cohesion) = 0.65
train-ticket-master,inside_payment.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountInfo]; [Balance]; [Money; MoneyType]; [OutsidePaymentInfo]; [Payment; PaymentType]; [PaymentInfo]. LCC (Lack of Component Cohesion) = 0.75
train-ticket-master,user.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): user.service.impl
train-ticket-master,verifycode.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): verifycode.service.impl
