Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
train-ticket-master,org.services.analysis,AggregateAllCases,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,AggregateEachCase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,App,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,CalculateEventAndNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,CallAnalysis,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,Test,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,TraceTranslator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.services.analysis,TraceTranslator,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 192
train-ticket-master,(default package),TestServiceLogin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,(default package),TestServiceRegister,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,(default package),TestServiceTravel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,(default package),TestServiceTravel.TravelInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,(default package),TestServiceTravel.TravelInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tripId; trainTypeId; startStationName; stationsId; terminalStationId; startingTime; endTime
train-ticket-master,org.myproject.ms.monitoring.antn,DefaultSpanCreator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,NoOpTagValueResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: methodResolver
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: methodResolver
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationMethodsResolver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: annotationType
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationMethodsResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: logger; beanFactory; spanCreator; tracer; spanTagAnnotationHandler
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.SleuthInterceptor,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: logger; beanFactory; spanCreator; tracer; spanTagAnnotationHandler
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAnnotatedParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SleuthAnnotationProperties,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.antn,SpelTagValueExpressionResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring.atcfg,TraceEnvironmentPostProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainCallable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Message,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: payload; size; type; prefix; headers
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Message,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
train-ticket-master,org.myproject.ms.monitoring,ChainKeys.Message,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: payload; size; type; prefix; headers
