Project Name;Package Name;Type Name;Method Name;Implementation Smell;Cause of the Smell;Method start line no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;CallAnalysis;main;Complex Method;Cyclomatic complexity of the method is 14;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;CallAnalysis;main;Long Method;The method has 103 lines of code.;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;CallAnalysis;main;Long Statement;"The length of the statement ""List<HashMap<String`String>> processList=serviceList.stream().filter(elem -> !""message:output"".equals(elem.get(""spanname""))).collect(Collectors.toList())";" is 154.;24
train-ticket-master;org.services.analysis;CallAnalysis;main;Long Statement;The length of the statement Map<String`Double> result=pListSuspicious.entrySet().stream().sorted(Map.Entry.comparingByValue(Comparator.reverseOrder())).collect(Collectors.toMap(Map.Entry::getKey`Map.Entry::getValue`(oldValue`newValue) -> oldValue`LinkedHashMap::new))";" is 240.;24
train-ticket-master;org.services.analysis;CallAnalysis;readFile;Empty catch clause;The method has an empty catch block.;172
train-ticket-master;org.services.analysis;Clock;Clock;Long Parameter List;The method has 7 parameters. ;19
train-ticket-master;org.services.analysis;Clock;isSrc;Long Parameter List;The method has 5 parameters. ;33
train-ticket-master;org.services.analysis;Test;main;Long Statement;The length of the statement String mircroServiceName=""{traceId=1b114102c6306ef8` spanId=1b114102c6306ef8` hostName=ts-order-service` destName=null` host=ts-order-service` clock={\""ts-order-service\"":4`\""ts-sso-service\"":2}` dest=null` event=ts-order-service.OrderController.queryOrders` type=ss` parentId=` timestamp=1516255241135800` }""";" is 310.;12
train-ticket-master;org.services.analysis;TraceTranslator;main;Complex Conditional;The conditional expression content.get(serverName"") != null && (content.get(""classname"") != null || content.get(""methodname"") != null) is complex.";32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;main;Complex Conditional;"The conditional expression content.get(""hostId"") != null && (content.get(""class"") != null || content.get(""method"") != null) is complex.";32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;main;Complex Method;Cyclomatic complexity of the method is 54;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;main;Long Method;The method has 333 lines of code.;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;findSrcClock;Long Parameter List;The method has 6 parameters. ;503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;sortLog;Complex Method;Cyclomatic complexity of the method is 11;524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;setChilds;Complex Method;Cyclomatic complexity of the method is 9;610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;traverse;Complex Method;Cyclomatic complexity of the method is 22;661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;compareLog;Complex Method;Cyclomatic complexity of the method is 12;832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train-ticket-master;org.services.analysis;TraceTranslator;clock2;Complex Method;Cyclomatic complexity of the method is 11;904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
