Project Name;Package Name;Type Name;Method Name;LOC;CC;PC;Line no;IsTest;Main prod class tested;Production classes tested
train-ticket-master;org.services.analysis;AggregateAllCases;main;26;3;1;12;0;org.services.analysis.AggregateAllCases;org.services.analysis.AggregateAllCases
train-ticket-master;org.services.analysis;AggregateAllCases;getTestCaseDirList;10;3;1;40;0;;
train-ticket-master;org.services.analysis;AggregateAllCases;getListFiles;24;6;1;53;0;org.services.analysis.AggregateAllCases;org.services.analysis.AggregateAllCases
train-ticket-master;org.services.analysis;AggregateEachCase;main;35;5;1;11;0;org.services.analysis.AggregateEachCase;org.services.analysis.AggregateEachCase
train-ticket-master;org.services.analysis;AggregateEachCase;getTestCaseDirList;10;3;1;52;0;;
train-ticket-master;org.services.analysis;AggregateEachCase;getListFiles;24;6;1;65;0;org.services.analysis.AggregateEachCase;org.services.analysis.AggregateEachCase
train-ticket-master;org.services.analysis;App;getGreeting;3;1;0;9;0;;
train-ticket-master;org.services.analysis;CalculateEventAndNode;main;27;4;1;20;0;;
train-ticket-master;org.services.analysis;CallAnalysis;main;103;14;1;24;0;org.services.analysis.CallAnalysis;org.services.analysis.CallAnalysis
train-ticket-master;org.services.analysis;CallAnalysis;readFile;26;3;1;172;0;;
train-ticket-master;org.services.analysis;Clock;Clock;9;1;7;19;0;;
train-ticket-master;org.services.analysis;Clock;getClock;3;1;0;29;0;;
train-ticket-master;org.services.analysis;Clock;isSrc;21;7;5;33;0;;
train-ticket-master;org.services.analysis;Span;Span;7;1;4;18;0;;
train-ticket-master;org.services.analysis;Span;addLog;3;1;1;26;0;;
train-ticket-master;org.services.analysis;Span;getLogs;3;1;0;30;0;;
train-ticket-master;org.services.analysis;Span;getTraceId;3;1;0;34;0;;
train-ticket-master;org.services.analysis;Span;getSpanId;3;1;0;38;0;;
train-ticket-master;org.services.analysis;Span;getParentId;3;1;0;42;0;;
train-ticket-master;org.services.analysis;Span;getChilds;3;1;0;46;0;;
train-ticket-master;org.services.analysis;Span;setChilds;3;1;1;50;0;;
train-ticket-master;org.services.analysis;Span;addChild;3;1;1;54;0;;
train-ticket-master;org.services.analysis;Span;getSpanname;3;1;0;58;0;;
train-ticket-master;org.services.analysis;Span;setSpanname;3;1;1;62;0;;
train-ticket-master;org.services.analysis;Test;main;8;2;1;12;0;;
train-ticket-master;org.services.analysis;Test;getTestCaseDirList;10;3;1;22;0;;
train-ticket-master;org.services.analysis;TraceTranslator;main;333;54;1;32;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;getFileName;7;1;1;412;0;;
train-ticket-master;org.services.analysis;TraceTranslator;getTestCaseDirList;10;3;1;421;0;;
train-ticket-master;org.services.analysis;TraceTranslator;getListFiles;24;6;1;433;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;sortListByTime;31;6;1;456;0;;
train-ticket-master;org.services.analysis;TraceTranslator;findSrcClock;15;4;6;503;0;;
train-ticket-master;org.services.analysis;TraceTranslator;sortLog;75;11;1;524;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;setChilds;43;9;3;610;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;traverse;91;22;4;661;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;mergeChildLogLists;27;7;1;777;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;findEarliest;15;3;2;810;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;compareLog;50;12;4;832;0;;
train-ticket-master;org.services.analysis;TraceTranslator;mergeForwardAndBackwardLogs;11;2;2;891;0;;
train-ticket-master;org.services.analysis;TraceTranslator;clock2;69;11;1;904;0;org.services.analysis.TraceTranslator;org.services.analysis.TraceTranslator
train-ticket-master;org.services.analysis;TraceTranslator;clock;65;10;1;979;0;;
train-ticket-master;org.services.analysis;TraceTranslator;readFile;26;3;1;1048;0;;
train-ticket-master;org.services.analysis;TraceTranslator;write;28;3;2;1073;0;;
train-ticket-master;org.services.analysis;TraceTranslator;writeFile;115;25;5;1100;0;;
train-ticket-master;(default package);TestFlowOne;login;8;1;3;21;0;;
train-ticket-master;(default package);TestFlowOne;getRandomString;9;2;1;30;0;;
train-ticket-master;(default package);TestFlowOne;setUp;7;1;0;40;0;;
train-ticket-master;(default package);TestFlowOne;testLogin;12;3;0;48;1;;
train-ticket-master;(default package);TestFlowOne;testBooking;40;3;0;71;0;;
train-ticket-master;(default package);TestFlowOne;testSelectContacts;31;5;0;129;0;;
train-ticket-master;(default package);TestFlowOne;testTicketConfirm;34;2;0;167;0;;
train-ticket-master;(default package);TestFlowOne;testTicketPay;16;2;0;203;0;;
train-ticket-master;(default package);TestFlowOne;testTicketCollect;13;4;0;222;0;;
train-ticket-master;(default package);TestFlowOne;testEnterStation;12;4;0;242;0;;
train-ticket-master;(default package);TestFlowOne;tearDown;3;1;0;260;0;;
train-ticket-master;(default package);TestFlowTwoPay;login;8;1;3;16;0;;
train-ticket-master;(default package);TestFlowTwoPay;setUp;6;1;0;24;0;;
