0Project Name;ackage Name;Type Name;Code Smell
0train-ticket-master;org.services.analysis;App;Unutilized Abstraction
0train-ticket-master;org.services.analysis;CalculateEventAndNode;Unutilized Abstraction
0train-ticket-master;org.services.analysis;Test;Unutilized Abstraction
0train-ticket-master;org.services.analysis;TraceTranslator;Insufficient Modularization
0train-ticket-master;(default package);TestFlowOne;Unutilized Abstraction
0train-ticket-master;(default package);TestFlowTwoPay;Unutilized Abstraction
0train-ticket-master;(default package);TestFlowTwoRebook;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceBasicInfo;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceCancel;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceCellect;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceConfig;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceContacts;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceExecute;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceInsidePay;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceLogin;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceNotification;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceOrders;Unutilized Abstraction
0train-ticket-master;(default package);TestServicePayment;Unutilized Abstraction
0train-ticket-master;(default package);TestServicePrice;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceRebook;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceRegister;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceSecurity;Unutilized Abstraction
0train-ticket-master;(default package);TestServiceSSO;Unutilized Abstraction0
0train-ticket-master;(default package);TestServiceStation;Unutilized Abstrac0tion
0train-ticket-master;(default package);TestServiceTicketInfo;Unutilized Abst0raction
0train-ticket-master;(default package);TestServiceTrain;Unutilized Abstracti0on
0train-ticket-master;(default package);TestServiceTravel;Unutilized Abstract0ion
0train-ticket-master;(default package);TravelInfo;Unutilized Abstraction    0
0train-ticket-master;(default package);TestServiceTravel2;Unutilized Abstrac0tion
0train-ticket-master;org.myproject.ms.monitoring.antn;DefaultSpanCreator;Unu0tilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;NoOpTagValueResolver;U0nutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;SleuthAdvisorConfig;Un0utilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;AnnotationClassOrMetho0dFilter;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;SleuthInterceptor;Unut0ilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;SleuthAnnotatedParamet0er;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;SleuthAnnotationAutoCo0nfiguration;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;SleuthAnnotationProper0ties;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.antn;SpelTagValueExpression0Resolver;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.atcfg;TraceAutoConfiguratio0n;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring.atcfg;TraceEnvironmentPostP0rocessor;Unutilized Abstraction
0train-ticket-master;org.myproject.ms.monitoring;ChainCallable;Unutilized Ab0straction
0train-ticket-master;org.myproject.ms.monitoring;ChainKeys;Insufficient Modu0larization
0train-ticket-master;org.myproject.ms.monitoring;ChainRunnable;Unutilized Ab0straction
0train-ticket-master;org.myproject.ms.monitoring;Item;Unutilized Abstraction0
0train-ticket-master;org.myproject.ms.monitoring;Item;Deficient Encapsulatio0n
0train-ticket-master;org.myproject.ms.monitoring;Item;Cyclic-Dependent Modul0arization
0train-ticket-master;org.myproject.ms.monitoring;Item;Insufficient Modulariz0ation
0train-ticket-master;org.myproject.ms.monitoring;SpanBuilder;Cyclic-Dependen0t Modularization
0train-ticket-master;org.myproject.ms.monitoring;SpanBuilder;Insufficient Mo0dularization
0train-ticket-master;org.myproject.ms.monitoring;ItemAdjuster;Unutilized Abs0traction
0train-ticket-master;org.myproject.ms.monitoring;ItemContext;Unutilized Abst0raction
0train-ticket-master;org.myproject.ms.monitoring;ItemExtractor;Unutilized Ab0straction
0train-ticket-master;org.myproject.ms.monitoring;ItemInjector;Unutilized Abs0traction
0train-ticket-master;org.myproject.ms.monitoring;NOItemAdjuster;Unutilized A0bstraction
0train-ticket-master;org.myproject.ms.monitoring;NOItemReporter;Unutilized A0bstraction
0train-ticket-master;org.myproject.ms.monitoring;StateItemAdjuster;Unutilize0d Abstraction
